1657843200,1.14891,5.99415,-3.79189,0.0,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0.0.16,0.0.17,0.0.18,0.0.19,0.0.20,0.0.21,0.0.22,0.0.23,0.0.24
1657880400,-5.7323,4.25426,1.41494,96.7242,0.231726,59.0794,33.3168,29.4229,0.231726,0.231726,0.231726,18.4795,0.231726,33.4434,31.4186,73.4409,58.8988,100.068,105.681,201.302,179.138,315.239,354.19,375.421,438.98,466.954,467.045,504.236
1657881000,-5.87236,4.5322,0.0536191,102.652,0.231726,69.866,36.3797,35.9922,0.235417,0.231726,0.231726,17.5037,0.231726,30.4075,26.9536,65.7459,43.9245,88.8573,94.1194,189.679,165.792,299.502,339.906,361.327,432.645,464.972,466.423,504.371
1657881600,-5.01099,5.03665,-1.84943,103.272,0.231726,72.1518,36.6759,36.1279,0.231726,0.231726,0.231726,16.4221,0.231726,27.8962,24.7356,61.177,38.6599,83.8749,88.9044,184.168,160.623,294.059,333.194,355.59,430.767,465.174,468.61,505.875
1657882200,-3.70298,4.97818,-2.92984,89.1317,0.231726,57.2233,25.9337,26.746,0.231726,0.231726,0.231726,19.8937,0.231726,33.9061,33.0592,75.232,60.6783,105.271,113.309,211.369,189.377,330.585,368.257,385.739,445.891,471.291,469.725,505.598
1657882800,-3.5941,5.35839,-0.967307,60.3511,0.231726,32.2055,12.677,15.1548,0.231726,1.24949,0.231726,33.4269,0.231726,71.1148,76.6273,119.477,116.761,163.785,177.395,291.265,262.225,399.556,425.036,424.106,457.871,469.733,454.081,488.284
1657883400,-5.19643,4.738,-1.08621,89.9181,0.231726,54.8044,27.8613,22.4331,0.231726,0.231726,0.231726,20.5425,0.231726,36.5561,35.3427,78.841,66.4734,106.898,112.325,207.865,187.507,325.075,363.348,381.934,441.284,466.673,465.215,501.649
1657884000,-5.06302,5.10762,-1.13265,107.27,0.231726,73.4349,38.0695,38.2227,0.234932,0.231726,0.231726,14.616,0.231726,26.2922,22.229,55.7144,33.6427,75.8163,78.8191,177.592,150.59,281.839,319.518,343.982,421.73,462.184,464.594,506.21
1657884600,-5.13721,5.34413,-1.38536,93.7219,0.231726,57.2791,30.2282,27.4898,0.231726,0.231726,0.231726,17.4366,0.231726,30.655,29.3356,69.0263,49.332,96.1706,103.507,198.435,178.862,316.249,354.918,375.987,439.165,465.915,463.716,502.365
1657885200,-5.0891,5.49996,-1.31957,77.1664,0.231726,49.0358,18.5468,18.7319,0.231726,0.231726,0.231726,23.018,0.231726,44.4446,46.6482,92.1157,82.3672,127.785,138.597,245.778,216.821,357.377,389.7,398.56,447.56,468.766,462.549,496.878
1657885800,-5.00998,5.30418,-1.9104,69.085,0.231726,41.6162,14.068,13.9088,0.231726,0.231726,0.231726,24.7989,0.231726,47.299,49.556,96.3065,86.8445,130.999,145.013,253.102,226.714,372.091,400.711,404.74,448.482,467.265,457.982,491.695
1657886400,-4.19347,5.99478,-1.29134,61.9646,0.231726,41.1583,13.8124,10.8363,0.231726,0.256008,0.231726,27.2261,0.231726,52.9064,59.5169,104.763,96.8823,137.311,147.823,253.898,228.047,378.474,413.359,417.945,456.656,471.227,461.717,495.691
1657887000,-2.84853,6.23773,-3.11772,94.279,0.231726,58.3667,30.5183,26.8164,0.231726,0.231726,0.231726,16.4365,0.231726,28.7788,27.6176,66.8731,48.4532,90.6819,94.3683,189.954,167.502,303.722,346.73,370.774,440.538,470.291,472.344,508.933
1657887600,-2.81356,5.25536,-5.27513,76.5363,0.231726,48.9559,17.1247,16.6121,0.231726,0.233354,0.231726,24.1318,0.231726,43.1654,42.5545,88.6272,74.6033,119.994,126.679,225.369,205.644,345.834,383.716,400.402,454.43,477.801,475.044,505.064
1657888200,-2.26429,5.59399,-4.07838,81.7662,0.231726,48.3735,17.1633,18.2445,0.231726,0.231726,0.231726,22.8344,0.231726,40.7927,43.0817,89.4464,79.0294,123.014,129.925,230.332,203.09,341.304,374.72,393.119,451.211,474.387,473.247,507.236
1657888800,-0.110502,6.37956,-3.2107,91.0884,0.231726,56.1538,25.5896,22.4023,0.231726,0.231726,0.231726,20.6007,0.231726,34.9831,34.8496,78.9023,66.3861,107.178,113.044,208.004,184.997,321.173,357.349,378.587,442.209,472.103,472.209,509.46
1657889400,-2.65042,5.36649,-3.6687,82.219,0.231726,49.9892,18.1424,18.802,0.231726,0.231726,0.231726,22.027,0.231726,39.3001,38.6256,86.1979,74.7161,116.341,124.422,224.643,200.814,340.776,378.875,396.459,451.304,475.391,470.916,506.165
1657890000,-5.48364,2.39106,-4.27059,85.2731,0.231726,53.2462,25.9259,21.1531,0.231726,0.231726,0.231726,21.2428,0.231726,37.7538,35.6409,80.8993,67.938,110.394,117.954,218.691,193.643,331.055,368.358,387.264,443.99,468.752,464.622,501.0
1657890600,-5.98351,0.763354,-3.84382,89.1591,0.231726,55.6442,27.432,25.6788,0.231726,0.231726,0.231726,20.8623,0.231726,34.3784,34.32,77.7995,67.0805,110.824,119.655,221.294,193.854,330.241,367.284,385.552,444.08,467.084,463.457,499.447
1657891200,-6.47696,-0.949244,-2.80452,87.8013,0.231726,52.6899,23.1274,20.5049,0.231726,0.231726,0.231726,20.3962,0.231726,36.2615,36.6513,81.5579,68.3176,109.458,115.945,212.39,188.785,324.313,362.084,381.668,441.715,466.324,464.133,502.052
1657891800,-4.59508,2.03614,-4.17414,81.0421,0.231726,48.6135,18.4155,18.3079,0.231726,0.231726,0.231726,21.8759,0.231726,39.0416,40.8542,89.3227,80.3759,122.97,130.952,233.378,205.193,345.629,383.77,396.567,447.656,468.967,464.313,499.644
1657892400,-1.97775,5.27183,-3.34698,83.2526,0.231726,51.1929,19.2943,19.7105,0.231726,0.231726,0.231726,22.8391,0.231726,38.1927,38.2829,84.3282,72.6051,113.941,121.402,223.406,198.193,341.441,380.813,397.139,453.189,474.637,467.865,502.334
